Superpixel,Mean B,Mean G,Mean R
0,81.369259606373,79.19587628865979,80.03092783505154
1,88.54174573055029,87.80455407969639,89.5796963946869
2,106.6742125984252,117.64271653543307,128.01377952755905
3,65.96962555642838,64.47577899973815,64.71484681853889
4,81.75022956841138,83.83275941230487,85.78914141414141
5,93.1611030478955,116.09753265602322,132.24528301886792
6,127.67017359284587,154.29011046817465,155.90952130457654
7,73.29835390946502,97.19135802469135,119.36316872427983
8,61.519725557461406,77.25042881646655,88.41852487135506
9,104.33459051724138,129.04956896551724,130.49946120689654
10,124.49897889720899,151.09598366235534,180.5282505105514
11,113.51635111876075,131.684165232358,138.41738382099828
12,130.2675906183369,150.3907249466951,157.73880597014926
13,133.33109360518998,161.9569045412419,189.5600092678406
14,100.95565749235475,104.21406727828746,107.42660550458716
15,134.61185770750987,147.37470355731224,156.30118577075098
16,142.6914968376669,158.62825017568517,171.09768095572733
17,119.35422519991356,141.80224767668037,160.03047330883942
18,89.94078611536499,91.83537519142419,93.58039816232773
19,116.36570247933884,144.05716253443526,165.02617079889808
20,190.1938242280285,204.6978622327791,223.10451306413302
21,62.03194444444444,63.81527777777778,67.26527777777778
22,164.55502915451896,177.92565597667638,193.2667638483965
23,102.36531365313652,100.00984009840099,99.80073800738008
24,164.6390916463909,164.85320356853202,169.28467153284672
25,166.29885057471265,176.43272481406356,189.5496957403651
26,128.89417475728155,129.59514563106796,134.9495145631068
27,167.46604015378043,164.807347287484,166.92738146091415
28,73.78605388272584,72.11991547807713,71.3217115689382
29,151.15953038674033,159.04696132596686,176.5939226519337
30,74.17862838915471,73.89314194577352,76.9298245614035
31,116.75392670157068,122.92356020942408,129.21361256544503
32,154.42176502436382,162.61396859772603,179.05089334055225
33,140.43147563967753,161.26673676831405,174.88363126533474
34,93.74181818181818,104.93745454545454,118.65454545454546
35,120.18974820143885,132.84037769784172,140.18660071942446
36,119.70077972709552,131.9132553606238,139.44639376218325
37,157.32425068119892,179.59945504087193,209.34514078110809
38,166.12468619246863,175.6887029288703,193.255230125523
39,159.31061946902656,185.9725663716814,215.8849557522124
40,183.13334373050532,202.56113537117903,217.5642545227698
41,119.79067357512953,131.58860103626944,140.37927461139896
42,122.47704918032787,132.48032786885247,150.42540983606557
43,144.614245014245,170.05470085470085,188.4991452991453
44,103.38351409978308,103.43817787418655,105.40390455531454
45,90.10412147505423,98.69522776572668,105.32104121475054
46,165.95766423357665,185.0839416058394,214.9963503649635
