Superpixel,Mean B,Mean G,Mean R
0,85.70703764320785,89.99427168576105,94.36088379705402
1,86.02899686520377,91.2398119122257,95.41536050156739
2,93.16439339554917,95.65900933237617,99.7264895908112
3,99.68195413758724,106.1864406779661,111.43270189431705
4,211.00155520995335,219.79937791601867,233.0114048729912
5,156.748031496063,169.3270341207349,181.71496062992125
6,108.12330623306234,130.46973803071364,134.7055103884372
7,65.91679389312976,73.86717557251909,80.4763358778626
8,66.0188542422045,76.11240029006527,84.66497461928934
9,67.82966321243524,67.85362694300518,70.65997409326425
10,94.04941400063352,117.42001900538486,121.82229965156795
11,89.5939572586588,97.47457627118644,105.72070744288872
12,65.08244274809161,75.26564885496184,82.02977099236641
13,103.34267241379311,128.64418103448276,145.4928879310345
14,77.10531220876048,95.36253494874184,100.51444547996272
15,89.12252964426878,108.5836627140975,107.38471673254281
16,94.35041666666666,94.80666666666667,97.78333333333333
17,71.2281690140845,73.9256338028169,79.07549295774648
18,120.73055773762765,145.3197172034564,167.27415553809897
19,93.78541790160047,115.30053349140486,123.76941315945466
20,59.619662921348315,64.05449438202247,67.81179775280899
21,100.90114068441065,103.9638783269962,108.77376425855513
22,83.93333333333334,83.29480122324159,86.95535168195718
23,179.4630681818182,184.04324494949495,191.16950757575756
24,63.34341463414634,62.37073170731707,63.36780487804878
25,74.85,78.46186440677967,82.10593220338983
26,84.97495183044316,80.67501605651894,78.83172768143866
27,84.87481804949054,88.17030567685589,93.32096069868996
28,134.19864864864866,141.16486486486485,148.03108108108108
29,91.49259497746297,95.64391500321958,101.23631680618158
30,59.32368896925859,59.44122965641953,61.45388788426763
31,132.14612188365652,140.13296398891967,147.42451523545705
32,120.220696937698,133.10823653643084,142.69693769799366
33,104.71855010660981,111.84008528784648,115.15280739161336
34,141.78289913159654,151.57849031396125,160.43620574482298
35,67.85598377281947,71.50777552400271,73.54563894523326
36,54.1764705882353,58.63529411764706,58.95490196078431
37,81.0,80.26488095238095,82.71428571428571
38,83.28070175438596,92.053216374269,99.92865497076023
39,88.90696753760886,95.36064924782265,97.80562153602534
40,80.82232779097387,77.95534441805226,78.44418052256532
41,91.33555555555556,97.17185185185186,101.67037037037036
42,168.95820433436532,185.93034055727554,199.45820433436532
43,130.2809065934066,147.80082417582418,158.1304945054945
44,79.31996824136561,78.2858277094085,81.39261611750695
45,66.7266081871345,69.69590643274854,71.94590643274854
46,81.26602564102564,100.27289377289377,96.58699633699634
47,143.1625,157.71458333333334,167.175
48,161.94720252167062,170.70921985815602,177.66903073286053
49,59.879207920792076,60.336633663366335,59.91683168316832
50,114.60119840213049,124.99667110519307,132.80159786950733
51,97.2640153330139,100.29180642069957,102.36751317680881
52,89.49492017416546,87.00072568940493,88.89477503628447
53,95.3056255247691,95.67254408060454,99.03106633081444
54,108.22549019607843,129.8489469862019,127.36601307189542
55,157.93246541903986,172.69487388120424,182.8860862489829
56,101.06877897990726,111.73338485316847,114.17233384853168
57,101.94278215223098,122.78057742782153,135.78477690288713
58,77.8038038038038,85.66166166166167,92.23223223223223
59,60.28351309707242,73.46841294298922,85.86132511556241
60,133.87408184679958,153.53515215110178,160.5414480587618
61,163.34770642201835,178.80642201834863,190.65412844036697
62,43.80359612724758,76.63623789764868,92.3042876901798
63,102.33418530351437,123.87284345047924,155.0076677316294
64,118.02115655853315,136.52703338034792,141.00564174894217
65,70.45702157764414,112.86151397240891,131.26883622214362
66,86.20756756756757,105.45621621621622,134.88972972972974
67,115.66503267973856,115.34640522875817,118.78513071895425
68,90.64049079754601,103.8478527607362,115.32433537832311
69,86.97826086956522,112.3804347826087,134.9611801242236
70,86.5575,85.847,88.252
71,128.0563176895307,146.03826714801443,175.55018050541517
72,80.71347736625515,84.5079732510288,89.75565843621399
73,117.61538461538461,118.98581865062312,121.92651482595616
74,95.67933655839668,120.76986869384935,141.68279198341395
75,102.93489148580969,108.24207011686144,118.76293823038397
76,73.3908754623921,78.60419235511714,81.4648581997534
77,67.44500632111252,72.54993678887485,72.6953223767383
78,92.90675241157557,108.03536977491962,120.81270096463022
79,77.90736145574856,81.88626964433416,86.89412737799834
80,84.86340468909276,87.08154943934761,94.72884811416921
81,173.90016189962225,172.86076632487857,174.8747976254722
82,123.84100418410041,123.7479079497908,124.00836820083683
83,119.72413793103448,126.71660721363456,133.56242568370988
84,166.13472070098575,169.31434830230012,174.1511500547645
85,97.10978043912175,107.24151696606786,114.70459081836327
86,87.52551242913214,100.82817269952028,119.64675098124728
87,117.34812547819433,140.8974751338944,171.0229533282326
88,201.6134338588074,223.07128169979438,234.54832076764907
