Superpixel,Mean B,Mean G,Mean R
0,88.35052083333333,89.65520833333333,93.5578125
1,108.75673854447439,129.20080862533692,148.54380053908355
2,76.77688504326329,98.90791100123609,109.22805933250928
3,101.77473363774733,128.75494672754948,143.26864535768647
4,102.62589413447783,102.05507868383405,104.60157367668097
5,48.99525616698292,63.114800759013285,66.77609108159393
6,69.2640056022409,67.67086834733894,68.05602240896359
7,83.3517298187809,90.10708401976936,101.28830313014826
8,70.14370245139476,75.10650887573965,75.34065934065934
9,116.56405353728489,123.34480560866794,138.68897386870617
10,71.85983066792097,96.60301034807149,95.2859830667921
11,92.22793404461687,92.41513094083415,96.60523763336566
12,130.15071090047394,135.95355450236966,144.84549763033175
13,69.44061696658098,77.58457583547558,80.52853470437017
14,127.62435064935065,137.71542207792209,147.73474025974025
15,89.50622406639005,89.19502074688796,93.09958506224066
16,83.1679306608884,86.81581798483207,96.57854821235102
17,76.40195694716243,76.36986301369863,77.8747553816047
18,64.14514608859567,66.67672007540057,66.82092365692743
19,96.76666666666667,94.74827586206897,94.72068965517241
20,83.17451523545706,97.93213296398892,96.50277008310249
21,101.1867816091954,106.77068965517242,110.49770114942528
22,70.15328467153284,72.1762252346194,74.31074035453598
23,89.60572872788542,90.4111204717776,92.39595619208087
24,70.01619778346121,78.30605285592497,85.82097186700767
25,180.09370816599733,192.70816599732262,204.55421686746988
26,101.81393129770993,105.37213740458016,107.99522900763358
27,57.42566709021601,68.89834815756035,75.21728081321474
28,102.21328224776501,110.94572158365261,117.86334610472541
29,113.07818860244234,116.43385345997287,120.2123473541384
30,81.26285714285714,83.29714285714286,84.82571428571428
31,109.03832248734635,116.13449023861172,121.30151843817788
32,166.57483443708608,185.87549668874172,200.98940397350992
33,104.15617128463477,113.75902602854744,120.2085082563672
34,123.59724473257698,138.112641815235,146.68233387358185
35,126.7603305785124,137.3978748524203,145.00590318772137
36,65.36260978670012,63.481806775407776,63.56085319949812
37,83.17809621289662,82.42818150801774,84.24360286591607
38,117.99058823529411,127.66745098039216,136.0329411764706
39,82.84817642069551,83.83460559796438,87.58778625954199
40,72.86185101580135,78.4293453724605,78.24424379232505
41,82.89559748427673,83.05534591194969,82.42767295597484
42,160.08256880733944,176.70642201834863,190.08371559633028
43,104.38514680483593,105.88903281519862,109.04490500863558
44,85.64587737843551,89.22515856236787,96.47568710359408
45,127.2689628482972,133.34945820433435,140.3142414860681
46,134.8384523334663,161.1886717191863,180.9425608296769
47,75.90114245744928,91.84285381207741,108.00862671951504
48,97.50095057034221,104.00475285171103,109.98003802281369
49,79.0789766407119,80.17797552836485,84.45383759733036
50,87.46676624346527,98.24122479462285,106.4368932038835
51,131.20319786808795,148.48367754830113,151.98800799467023
52,87.41569541569541,104.42890442890443,106.01476301476302
53,116.2233956133225,135.1153533712429,138.46872461413486
54,136.511544011544,145.45526695526695,152.08585858585857
55,94.61399548532731,98.372460496614,101.09330323551542
56,176.87408312958436,195.21577017114913,207.7854523227384
57,61.08735868448099,63.60842754367934,67.2332990750257
58,138.66666666666666,148.5750184774575,156.3170731707317
59,84.58333333333333,79.37456140350878,79.78684210526316
60,64.79924242424242,67.09280303030303,66.94949494949495
61,122.94265593561369,132.01106639839034,138.99597585513078
62,120.247150997151,137.10897435897436,153.28133903133903
63,59.51955867602808,66.8876629889669,69.3470411233701
64,100.53909061171083,116.96859666339549,132.21589793915604
65,89.67152961980548,95.55879752431477,95.16799292661362
66,67.27753303964758,71.43759177679883,71.00440528634361
67,141.05292479108635,156.93686165273908,165.21448467966573
68,96.03884842178286,115.6520985084981,118.72840790842872
69,64.23386619301361,64.88158673771463,66.9384251036116
70,105.51538461538462,108.34087912087912,112.31538461538462
71,82.85972850678733,92.90101809954751,91.97454751131222
72,96.54627766599597,96.88430583501005,101.04627766599597
73,114.51869722557298,117.38600723763571,122.24728588661037
